id,species,split_spp,url,url_2,url_3,shapefile_path,raster_path,majority_cat,single_cat,processing_cat,countries_raw,countries_occ,outside_range,post_2008 ,pre_2008 ,zero_gbif_records,previous_sp_name,alternate_sp_name,new_sp_name,notes
8,Agkistrodon_taylori,Agkistrodon_taylori,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Agkistrodon_taylori.pdf,,,data/raw/eor/Agkistrodon_taylori.shp,output/species_rasters/combined_cat/Agkistrodon_taylori.tif,1,1,1,MEX,MEX,1,few,0,0,Agkistrodon_bilineatus_taylori,,,
9,Atheris_broadleyi,Atheris_broadleyi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atheris_broadleyi.pdf,http://reptile-database.reptarium.cz/species?genus=Atheris&species=broadleyi&search_param=%28%28search%3D%27Atheris+broadleyi%27%29%29,,data/raw/eor/Atheris_broadleyi.shp,output/species_rasters/combined_cat/Atheris_broadleyi.tif,2,1,2,"CMR, CAF",,0,0,0,1,Atheris_squamigera,,,
10,Atheris_chlorechis,Atheris_chlorechis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atheris_chlorechis.pdf,,,data/raw/eor/Atheris_chlorechis.shp,output/species_rasters/combined_cat/Atheris_chlorechis.tif,2,1,2,"CIV, LBR, SLE, GIN, GHA","GHA, CIV, LBR, GIN",1,few,0,0,,,,
11,Atheris_squamigera,Atheris_squamigera,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atheris_squamigera.pdf,,,data/raw/eor/Atheris_squamigera.shp,output/species_rasters/combined_cat/Atheris_squamigera.tif,2,1,2,"CMR, COG, COD, GAB, GNQ, UGA, KEN, RWA, CAF, NGA, AGO","CMR, GAB, COG, GNQ, COD, UGA, KEN, AGO",1,0,few_historic,0,,,,
12,Atractaspis_andersonii,Atractaspis_andersonii,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atractaspis_andersonii.pdf,http://reptile-database.reptarium.cz/species?genus=Atractaspis&species=andersonii&search_param=%28%28search%3D%27Atractaspis+andersonii%27%29%29,http://www.iucnredlist.org/details/17364071/0,data/raw/eor/Atractaspis_andersonii.shp,output/species_rasters/combined_cat/Atractaspis_andersonii.tif,1,1,1,"YEM, SAU, OMN",,0,0,0,1,"Melanelaps_mcphersoni, Atractaspis_microlepidota_andersonii",,,
13,Atractaspis_bibronii,Atractaspis_bibronii,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atractaspis_bibronii.pdf,,,data/raw/eor/Atractaspis_bibronii.shp,output/species_rasters/combined_cat/Atractaspis_bibronii.tif,2,1,2,"BWA, BDI, MWI, MOZ, NAM, SWZ, ZMB, ZWE, TZA, AGO, ZAF, COD, RWA, KEN","MOZ, ZAF, COD, BWA, NAM, SWZ, TZA, KEN, AGO, ZWE, ZMB, GHA, MLI",1,0,few_historic,0,,,,
14,Atractaspis_engaddensis,Atractaspis_engaddensis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atractaspis_engaddensis.pdf,,,data/raw/eor/Atractaspis_engaddensis.shp,output/species_rasters/combined_cat/Atractaspis_engaddensis.tif,2,1,2,"ISR, SAU, EGY, JOR","ISR, EGY, SAU",0,0,0,0,,,,
15,Atractaspis_fallax,Atractaspis_fallax,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atractaspis_fallax.pdf,,,data/raw/eor/Atractaspis_fallax.shp,output/species_rasters/combined_cat/Atractaspis_fallax.tif,2,1,2,"SOM, DJI, TZA, ETH, SSD, UGA, KEN",KEN,0,0,0,0,,,,
16,Atractaspis_irregularis,Atractaspis_irregularis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atractaspis_irregularis.pdf,,,data/raw/eor/Atractaspis_irregularis.shp,output/species_rasters/combined_cat/Atractaspis_irregularis.tif,2,1,2,"BDI, COG, CIV, COD, GAB, LBR, RWA, UGA, GHA, TGO, NGA, CMR, GNQ, CAF, SSD, KEN, TZA, AGO","BEN, NGA, TZA, COG, COD, KEN, UGA, GHA, CMR, CAF, RWA",1,excessive,few_historic,0,,,,
17,Atropoides_mexicanus,Atropoides_mexicanus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atropoides_mexicanus.pdf,,,data/raw/eor/Atropoides_mexicanus.shp,output/species_rasters/combined_cat/Atropoides_mexicanus.tif,2,1,2,"CRI, MEX, GTM, BLZ, HND, NIC, PAN","MEX, HND, GTM, SLV, CRI",1,few,few_historic,0,"
Atropoides_nummifer_mexicana, Porthidium_nummifer_mexicanum",,,
18,Atropoides_occiduus,Atropoides_occiduus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atropoides_occidus.pdf,,,data/raw/eor/Atropoides_occiduus.shp,output/species_rasters/combined_cat/Atropoides_occiduus.tif,2,1,2,"MEX, GTM, HND, SLV",,0,0,0,1,"Atropoides_nummifer_occiduus, Porthidium_nummifer_occiduum",,,
19,Atropoides_spp,Atropoides_indomitus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atropoides_spp.pdf,,,data/raw/eor/Atropoides_indomitus.shp,output/species_rasters/combined_cat/Atropoides_indomitus.tif,2,1,2,HND,HND,1,few,0,0,,,,
19,Atropoides_spp,Atropoides_nummifer,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atropoides_spp.pdf,,,data/raw/eor/Atropoides_nummifer.shp,output/species_rasters/combined_cat/Atropoides_nummifer.tif,2,1,2,MEX,"MEX, CRI, HND, SLV, BLZ, GTM",1,few,excessive_historic,0,,,,
19,Atropoides_spp,Atropoides_olmec,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atropoides_spp.pdf,,,data/raw/eor/Atropoides_olmec.shp,output/species_rasters/combined_cat/Atropoides_olmec.tif,2,1,2,"MEX, GTM",MEX,1,0,few_historic,0,,,,
19,Atropoides_spp,Atropoides_picadoi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Atropoides_spp.pdf,,,data/raw/eor/Atropoides_picadoi.shp,output/species_rasters/combined_cat/Atropoides_picadoi.tif,2,1,2,"CRI, PAN",CRI,1,0,few_historic,0,,,,
20,Austrelaps_spp,Austrelaps_labialis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Austrelaps_spp.pdf,,,data/raw/eor/Austrelaps_labialis.shp,output/species_rasters/combined_cat/Austrelaps_labialis.tif,2,1,2,AUS,AUS,0,0,0,1,,,,
20,Austrelaps_spp,Austrelaps_ramsayi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Austrelaps_spp.pdf,,,data/raw/eor/Austrelaps_ramsayi.shp,output/species_rasters/combined_cat/Austrelaps_ramsayi.tif,2,1,2,AUS,AUS,,,,,,,,
20,Austrelaps_spp,Austrelaps_superbus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Austrelaps_spp.pdf,,,data/raw/eor/Austrelaps_superbus.shp,output/species_rasters/combined_cat/Austrelaps_superbus.tif,2,1,2,AUS,AUS,,,,,,,,
21,Bitis_arietans,Bitis_arietans,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bitis_arietans.pdf,,,data/raw/eor/Bitis_arietans.shp,output/species_rasters/combined_cat/Bitis_arietans.tif,1,0,1&2,"AGO, BEN, BWA, BFA, BDI, CMR, CAF, DJI, SSD, ERI, ETH, GMB, GHA, GNB, GIN, LSO, MWI, MOZ, NGA, RWA, SEN, SLE, SOM, SWZ, TGO, UGA, ZMB, ZWE, KEN, SDN, ZAF, TZA, MAR, ESH, MRT, MLI, NER, TCD, COG, GAB, COD, SAU, YEM, OMN, NAM, CIV","NAM, ZAF, MAR, SSD, BWA, GMB, MOZ, BEN, TGO, ZMB, TZA, KEN, ZWE, GNB, MWI, COG, GIN, GHA, OMN, SWZ, LSO, SAU, SOM, ETH, COD, UGA, CIV, BFA, AGO, SDN, SEN, BDI",1,few,few_historic,0,,,,
22,Bitis_gabonica,Bitis_gabonica,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bitis_gabonica.pdf,,,data/raw/eor/Bitis_gabonica.shp,output/species_rasters/combined_cat/Bitis_gabonica.tif,1,0,1&2,"CAF, COG, COD, ZMB, NGA, CMR, AGO, GNQ, ZWE, MWI, MOZ, ZAF, TZA, RWA, SSD, UGA, KEN, GAB, BDI","UGA, NGA, COD, TZA, BEN, CMR, KEN, COG, MOZ, LBR, GNQ, GIN, GAB, ZAF, CIV, TGO, GHA, ZMB, MLI",1,excessive,few_historic,0,Bitis_gabonica_gabonica,,,
23,Bitis_nasicornis,Bitis_nasicornis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bitis_nasicornis.pdf,,,data/raw/eor/Bitis_nasicornis.shp,output/species_rasters/combined_cat/Bitis_nasicornis.tif,2,0,1&2,"BDI, COG, COD, LBR, RWA, SLE, GIN, CIV, GHA, TGO, NGA, GNQ, CMR, CAF, SSD, UGA, AGO, TZA, KEN, GAB","CMR, BEN, KEN, TZA, COG, COD, GAB, GNQ, UGA, CIV, GHA, NGA, RWA",1,excessive,few_historic,0,,,,
24,Bitis_parviocula,Bitis_parviocula,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bitis_parviocula.pdf,,,data/raw/eor/Bitis_parviocula.shp,output/species_rasters/combined_cat/Bitis_parviocula.tif,2,1,2,ETH,ETH,1,few,few_historic,0,,,,
25,Bitis_rhinoceros,Bitis_rhinoceros,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bitis_rhinoceros.pdf,,,data/raw/eor/Bitis_rhinoceros.shp,output/species_rasters/combined_cat/Bitis_rhinoceros.tif,2,0,1&2,"CIV, GNB, LBR, SLE, SEN, GIN, GHA, TGO, BEN","BEN, GIN, GHA, LBR",1,few,few_historic,0,Bitis_gabonica_rhinoceros,,,
26,Bothriechis_lateralis,Bothriechis_lateralis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_lateralis.pdf,,,data/raw/eor/Bothriechis_lateralis.shp,output/species_rasters/combined_cat/Bothriechis_lateralis.tif,2,1,2,"CRI, PAN","CRI, PAN",1,few,few_historic,0,Bothrops_lateralis,,,
27,Bothriechis_marchi,Bothriechis_marchi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_marchi.pdf,,,data/raw/eor/Bothriechis_marchi.shp,output/species_rasters/combined_cat/Bothriechis_marchi.tif,2,1,2,"HND, NIC",HND,1,few,few_historic,0,"Bothriechis_aurifer_marchi, Bothriechis_nigroviridis_marchi, Bothrops_nigroviridis_marchi",,,
28,Bothriechis_schlegelii,Bothriechis_schlegelii,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_schlegelii.pdf,,,data/raw/eor/Bothriechis_schlegelii.shp,output/species_rasters/combined_cat/Bothriechis_schlegelii.tif,2,1,2,"BLZ, MEX, GTM, HND, NIC, CRI, PAN, ECU, PER, COL, VEN","CRI, COL, PAN, ECU, GTM, HND, NIC, BLZ, MEX",1,few,few_historic,0,Bothrops_schlegelii,,,
29,Bothriechis_spp,Bothriechis_bicolor,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_spp.pdf,,,data/raw/eor/Bothriechis_bicolor.shp,output/species_rasters/combined_cat/Bothriechis_bicolor.tif,2,1,2,"GTM, MEX","MEX, GTM",1,few,few_historic,0,,,,
29,Bothriechis_spp,Bothriechis_nigroviridis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_spp.pdf,,,data/raw/eor/Bothriechis_nigroviridis.shp,output/species_rasters/combined_cat/Bothriechis_nigroviridis.tif,2,1,2,"CRI, PAN",CRI,1,0,few_historic,0,,,,
29,Bothriechis_spp,Bothriechis_rowleyi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_spp.pdf,,,data/raw/eor/Bothriechis_rowleyi.shp,output/species_rasters/combined_cat/Bothriechis_rowleyi.tif,2,1,2,MEX,MEX,1,0,few_historic,0,,,,
29,Bothriechis_spp,Bothriechis_supraciliaris,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_spp.pdf,http://reptile-database.reptarium.cz/species?genus=Bothriechis&species=supraciliaris&search_param=%28%28search%3D%27Bothriechis+supraciliaris%27%29%29,,data/raw/eor/Bothriechis_supraciliaris.shp,output/species_rasters/combined_cat/Bothriechis_supraciliaris.tif,2,1,2,CRI,,0,0,0,1,"Bothrops_schlegelii_supraciliaris,",,,
29,Bothriechis_spp,Bothriechis_aurifer,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_spp.pdf,,,data/raw/eor/Bothriechis_aurifer.shp,output/species_rasters/combined_cat/Bothriechis_aurifer.tif,2,1,2,"GTM, MEX","GTM, MEX",1,0,few_historic,0,,,,
29,Bothriechis_spp,Bothriechis_thalassinus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothriechis_spp.pdf,,,data/raw/eor/Bothriechis_thalassinus.shp,output/species_rasters/combined_cat/Bothriechis_thalassinus.tif,2,1,2,"HND, SLV, GTM",HND,1,0,few_historic,0,,,,
30,Bothrocophias_hyoprora,Bothrocophias_hyoprora,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrocophias_hyoprora.pdf,,,data/raw/eor/Bothrocophias_hyoprora.shp,output/species_rasters/combined_cat/Bothrocophias_hyoprora.tif,2,1,2,"ECU, COL, BOL, PER, BRA","PER, ECU, BRA, COL",1,0,few_historic,0,Bothrops_hyoprora,,,
31,Bothrocophias_microphthalmus,Bothrocophias_microphthalmus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrocophias_microphthalmus.pdf,,,data/raw/eor/Bothrocophias_microphthalmus.shp,output/species_rasters/combined_cat/Bothrocophias_microphthalmus.tif,2,1,2,"COL, ECU, BRA, PER, BOL","COL, PER, ECU",1,0,few_historic,0,Bothrops_microphthalmus,,,
32,Bothrocophias_spp,Bothrocophias_campbelli,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrocophias_spp.pdf,,,data/raw/eor/Bothrocophias_campbelli.shp,output/species_rasters/combined_cat/Bothrocophias_campbelli.tif,2,1,2,ECU,ECU,0,0,0,0,,,,
32,Bothrocophias_spp,Bothrocophias_colombianus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrocophias_spp.pdf,,,data/raw/eor/Bothrocophias_colombianus.shp,output/species_rasters/combined_cat/Bothrocophias_colombianus.tif,2,1,2,COL,COL,1,0,few_historic,0,,,,
32,Bothrocophias_spp,Bothrocophias_myersi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrocophias_spp.pdf,,,data/raw/eor/Bothrocophias_myersi.shp,output/species_rasters/combined_cat/Bothrocophias_myersi.tif,2,1,2,COL,COL,1,few,few_historic,0,,,,
33,Bothrops_alternatus,Bothrops_alternatus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_alternatus.pdf,,,data/raw/eor/Bothrops_alternatus.shp,output/species_rasters/combined_cat/Bothrops_alternatus.tif,1,0,1&2,"URY, ARG, PRY, BRA","BRA, ARG, URY, PRY",1,0,few_historic,0,,,,
34,Bothrops_ammodytoides,Bothrops_ammodytoides,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_ammodytoides.pdf,,,data/raw/eor/Bothrops_ammodytoides.shp,output/species_rasters/combined_cat/Bothrops_ammodytoides.tif,2,1,2,ARG,ARG,1,0,few_historic,0,,,,
35,Bothrops_asper,Bothrops_asper,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_asper.pdf,,,data/raw/eor/Bothrops_asper.shp,output/species_rasters/combined_cat/Bothrops_asper.tif,1,1,1,"BLZ, MEX, GTM, HND, NIC, COL, CRI, PAN, ECU, PER","CRI, ECU, MEX, COL, BLZ, VEN, PAN, TTO, NIC, HND, GTM, BRA",1,few,excessive_historic,0,Bothrops_atrox_asper,,,
36,Bothrops_atrox,Bothrops_atrox,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_atrox.pdf,,,data/raw/eor/Bothrops_atrox.shp,output/species_rasters/combined_cat/Bothrops_atrox.tif,1,1,1,"COL, GUF, GUY, SUR, ECU, VEN, BRA, BOL, PER","ECU, GUY, PER, COL, GUF, TTO, BRA, SUR, BOL, VEN, MEX, CRI, HND, PAN, CUB, URY, BLZ",1,few,excessive_historic,0,,,,
37,Bothrops_bilineatus,Bothrops_bilineatus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_bilineatus.pdf,,,data/raw/eor/Bothrops_bilineatus.shp,output/species_rasters/combined_cat/Bothrops_bilineatus.tif,1,0,1&2,"GUF, GUY, SUR, ECU, COL, VEN, BOL, BRA, PER","ECU, GUY, BRA, GUF, BOL, PER",1,0,few_historic,0,"Bothriopsis_bilineata, Bothriechis_bilineatus",,,
38,Bothrops_brazili,Bothrops_brazili,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_brazili.pdf,,,data/raw/eor/Bothrops_brazili.shp,output/species_rasters/combined_cat/Bothrops_brazili.tif,2,0,1&2,"GUF, GUY, SUR, VEN, COL, ECU, BOL, BRA, PER","GUY, PER, ECU, VEN, GUF",1,0,few_historic,0,,,,
39,Bothrops_caribbaeus,Bothrops_caribbaeus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_caribbaeus.pdf,http://reptile-database.reptarium.cz/species?genus=Bothrops&species=caribbaeus&search_param=%28%28search%3D%27Bothrops+caribbaeus%27%29%29,,data/raw/eor/Bothrops_caribbaeus.shp,output/species_rasters/combined_cat/Bothrops_caribbaeus.tif,1,1,1,LCA,,0,0,0,1,"Trigonocephalus_caribbaeus, Bothrops_lanceolatus_caribbeus, Coluber_lanceolatus, Bothrops_caribbaea",,,
40,Bothrops_cf_atrox,Bothrops_cf_atrox,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_cf_atrox.pdf,,,data/raw/eor/Bothrops_cf_atrox.shp,output/species_rasters/combined_cat/Bothrops_cf_atrox.tif,1,1,1,"TTO, VEN",,1,excessive,excessive_historic,0,Bothrops_asper,,,
41,Bothrops_diporus,Bothrops_diporus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_diporus.pdf,,,data/raw/eor/Bothrops_diporus.shp,output/species_rasters/combined_cat/Bothrops_diporus.tif,2,0,1&2,"PRY, BRA, ARG","ARG, PRY, BRA",1,0,few_historic,0,Bothrops_neuwiedi_diporus,,,
42,Bothrops_jararaca,Bothrops_jararaca,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_jararaca.pdf,http://reptile-database.reptarium.cz/species?genus=Bothrops&species=jararaca&search_param=%28%28search%3D%27Bothrops+jararaca%27%29%29,,data/raw/eor/Bothrops_jararaca.shp,output/species_rasters/combined_cat/Bothrops_jararaca.tif,2,0,1&2,"ARG, PRY, BRA","BRA, ARG, BOL, PRY, PER",0,0,0,1,"Bothropoides_jararaca, Bothrops_leucostigma, Bothrops_megaera, Bothrops_taeniatus, Bothrops_tessellatus, Cophias_jajaraca, Cophias_jararakka, Lachesis_lanceolatus",,,
43,Bothrops_jararacussu,Bothrops_jararacussu,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_jararacussu.pdf,,,data/raw/eor/Bothrops_jararacussu.shp,output/species_rasters/combined_cat/Bothrops_jararacussu.tif,2,0,1&2,"BOL, PRY, ARG, BRA","BRA, PRY, ARG, COL",1,0,excessive_historic,0,,,,
44,Bothrops_jonathani,Bothrops_jonathani,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_jonathani.pdf,http://reptile-database.reptarium.cz/species?genus=Bothrops&species=jonathani&search_param=%28%28search%3D%27Bothrops+jonathani%27%29%29,,data/raw/eor/Bothrops_jonathani.shp,output/species_rasters/combined_cat/Bothrops_jonathani.tif,2,1,2,BOL,,0,0,0,1,Rhinocerophis_ jonathani,,,
45,Bothrops_lanceolatus,Bothrops_lanceolatus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_lanceolatus.pdf,,,data/raw/eor/Bothrops_lanceolatus.shp,output/species_rasters/combined_cat/Bothrops_lanceolatus.tif,1,1,1,MTQ,"CRI, BRA",0,0,0,0,,,,
46,Bothrops_leucurus,Bothrops_leucurus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_leucurus.pdf,,,data/raw/eor/Bothrops_leucurus.shp,output/species_rasters/combined_cat/Bothrops_leucurus.tif,1,1,1,BRA,BRA,1,few,few_historic,0,,,,
47,Bothrops_mattogrossensis,Bothrops_mattogrossensis,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_mattogrossensis.pdf,,,data/raw/eor/Bothrops_mattogrossensis.shp,output/species_rasters/combined_cat/Bothrops_mattogrossensis.tif,2,0,1&2,"BOL, PRY, PER, ARG, BRA","BOL, PRY, BRA",0,0,0,1,"Bothrops_neuwiedi_mattogrossensis, Bothrops_neuwiedi_bolivianus",,,
48,Bothrops_moojeni,Bothrops_moojeni,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_moojeni.pdf,,,data/raw/eor/Bothrops_moojeni.shp,output/species_rasters/combined_cat/Bothrops_moojeni.tif,2,0,1&2,"ARG, PRY, BRA, BOL","BRA, ARG, PRY",1,0,few_historic,0,,,,
49,Bothrops_neuwiedi,Bothrops_neuwiedi,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_neuwiedi.pdf,,,data/raw/eor/Bothrops_neuwiedi.shp,output/species_rasters/combined_cat/Bothrops_neuwiedi.tif,2,1,2,"PRY, BRA, ARG","PRY, ARG, BRA, BOL, URY",0,0,0,1,Bothrops_neuwiedi_neuwiedi,,,
50,Bothrops_pictus,Bothrops_pictus,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_pictus.pdf,,,data/raw/eor/Bothrops_pictus.shp,output/species_rasters/combined_cat/Bothrops_pictus.tif,1,1,1,PER,PER,1,0,few_historic,0,,,,
51,Bothrops_pubescens,Bothrops_pubescens,http://apps.who.int/bloodproducts/snakeantivenoms/database/Images/SnakesDistribution/Large/map_Bothrops_pubescens.pdf,,,data/raw/eor/Bothrops_pubescens.shp,output/species_rasters/combined_cat/Bothrops_pubescens.tif,2,1,2,"ARG, BRA, URY","BRA, URY",0,0,0,1,Bothrops_neuwiedi_pubescens,,,
